Route	Average of Weekday	Average of Saturday	Average of Sunday	Average Ridership
31	2055.83			2055.83
32	4750.79	2830.17	2270.88	3283.95
33	5790.42	6761.33	5650.54	6067.43
36	2920.92	2035.46	1567.67	2174.68
42	2113.71	1270.46	1068.38	1484.18
43	1821.46	1040.42	893.46	1251.78
52	5799.46	4445.54	3718.38	4654.46
54	6300.29	4625.50	3150.92	4692.24
59	1221.67			1221.67
60	422.75			422.75
62	616.13	686.71	559.42	620.75
63	1660.83			1660.83
64	2651.50	1652.54	1391.50	1898.51
70	9915.58	7138.33	5517.50	7523.80
74	669.04	513.42	436.21	539.56
79	6367.63	4472.63	3780.04	4873.43
80	4238.54	2718.46	2294.58	3083.86
83	1353.67	675.67	494.21	841.18
86	1479.25	869.67	678.21	1009.04
90	4712.42	3364.96	2605.33	3560.90
92	6263.50	3785.25	3119.38	4389.38
96	3961.17	2693.46	2242.17	2965.60
10A	1362.79	1121.25	581.75	1021.93
10B	1544.96	1699.79	1478.92	1574.56
11C	57.13			57.13
11Y	232.17	2103.67	1649.00	1328.28
16A	1937.54	1637.83	887.29	1487.55
16C	1087.17	815.25	737.13	879.85
16E	136.46	258.88	225.25	206.86
16G	1272.50	1144.50	992.17	1136.39
16H	1312.83	1238.00	1070.11	1206.98
16M	3111.33	2793.83	2501.67	2802.28
16Y	413.58			413.58
17B	24.29			24.29
17G	155.58			155.58
17K	216.88			216.88
17M	91.54			91.54
18G	172.50			172.50
18J	23.29			23.29
18P	429.92			429.92
1A	2416.25	2120.92	1695.17	2077.45
1B	496.71			496.71
1C	571.04	396.46	339.17	435.56
21C	250.21			250.21
22A	279.21	227.38	183.46	230.02
22F	126.79			126.79
23A	146.04	212.38	170.33	176.25
23B	1039.75	569.08	488.54	699.12
23T	1215.58	739.50	593.08	849.39
25B	936.63	474.54	214.92	542.03
26A	480.83			480.83
28A	5820.08	4941.42	4073.96	4945.15
28F	32.46			32.46
29G	361.92			361.92
29K	991.46	808.00	665.42	821.63
29N	1007.88	858.63	731.46	865.99
2A	962.08	678.79	568.63	736.50
2B	386.96	315.63	270.13	324.24
38B	2419.54	1548.83	1300.63	1756.33
3F	26.62			26.62
3Y	119.38			119.38
4B	913.42	540.42	343.88	599.24
5A	417.00	402.36	398.64	406.00
7A	1816.88	1223.42	998.75	1346.35
7M	730.83			730.83
89M	723.96			723.96
8W	121.71			121.71
9S	107.00			107.00
A12	2073.38	1471.63	1387.88	1644.30
A2	3675.29	1915.88	1606.17	2399.11
A31	7.50			7.50
A32	14.16			14.16
A33	11.11			11.11
A4	2850.58	1538.83	1292.67	1894.03
A6	2789.54	1737.83	1530.71	2019.36
A7	348.92			348.92
A8	3623.88	2139.38	1872.08	2545.11
B2	6936.54	4078.67	3489.63	4834.95
B21	164.92			164.92
B22	207.25			207.25
B24	699.58			699.58
B27	181.21			181.21
C11	57.50			57.50
C12	244.33			244.33
C13	27.25			27.25
C14	236.67	158.42		197.55
C2	3715.04	2624.92	706.70	2348.89
C21	518.13	244.00	279.67	347.27
C22	568.04			568.04
C26	632.58			632.58
C27	16.00	164.33	139.67	106.67
C29		567.75	407.67	487.71
C4	5018.25	3992.17	4990.46	4666.96
C8	1819.67	1101.88		1460.78
D12	2650.04	2140.46	1876.54	2222.35
D14	1573.25	941.58	834.58	1116.47
D2	1026.33	592.08	562.54	726.98
D31	120.75			120.75
D32	139.90			139.90
D33	69.05			69.05
D34	62.50			62.50
D4	1114.29	705.50	630.33	816.71
D51	5.84			5.84
D6	2835.58	1383.13	1047.92	1755.54
D8	2400.42	1579.54	1341.21	1773.72
E2	887.13	489.83	258.46	545.14
E4	2923.04	1969.29	1557.83	2150.05
F1	897.75			897.75
F12	441.92			441.92
F13	760.21			760.21
F14	1272.13	573.92		923.03
F2	141.96	490.08	417.88	349.97
F4	6672.54	5119.04	4096.83	5296.14
F6	1334.00			1334.00
F8	957.25	575.00	443.88	658.71
G12	901.46	466.58	409.50	592.51
G14	1827.21	978.58	809.83	1205.21
G2	1044.88	978.21	870.96	964.68
G8	2817.33	1337.29	1066.33	1740.32
H12	741.17	307.79	255.92	434.96
H2	2122.33	1432.88	1168.42	1574.54
H4	2611.50	1737.88	1360.13	1903.17
H6	1264.42	655.29	512.25	810.65
H8	2890.38	1686.00	1382.75	1986.38
H9	32.79			32.79
J1	368.29			368.29
J12	710.75	349.54	316.21	458.83
J2	3981.96	2785.33	2294.21	3020.50
K12	1838.04	834.08	668.83	1113.65
K2	359.42			359.42
K6	6247.13	5323.46	4481.67	5350.75
K9	715.95			715.95
L12	1606.67	1182.00	970.50	1253.06
L2	3546.00	2523.21	1884.67	2651.29
L8	1283.29			1283.29
M4	805.67			805.67
M6	1242.88	734.88	442.08	806.61
MW1	1378.50	775.33	655.17	936.33
N2	1058.33			1058.33
N4	1090.17			1090.17
N6	152.33	874.96	712.25	579.85
NH1	1178.71	923.00	807.79	969.83
NH2	733.38	707.92	615.00	685.43
P12	6658.04	4914.63	4158.04	5243.57
P18	564.38			564.38
P6	3412.63	1846.67	1547.79	2269.03
Q1	120.56	249.17	1053.89	474.54
Q2	873.25	668.13	1167.50	902.96
Q4	2021.92	1755.21	1139.46	1638.86
Q5	85.06		692.89	388.98
Q6	1866.29	1115.67	884.50	1288.82
R1	577.58			577.58
R12	969.75	486.50		728.13
R2	2805.88	1131.79	825.71	1587.79
R4	1051.13	390.67	271.67	571.16
REX	1968.79	1497.54	1210.71	1559.01
S2	5676.50	4143.50	3195.21	4338.40
S35	6.17			6.17
S41	7.55			7.55
S9	5257.13	2973.92	2683.29	3638.11
T14	1432.38	639.75	399.50	823.88
T18	5168.46	3782.83	2926.21	3959.17
T2	754.46			754.46
U4	806.67	391.33	374.00	524.00
U5	1236.29	831.25	710.79	926.11
U6	1220.50	698.75	612.17	843.81
U7	1234.46	873.54	543.04	883.68
V1	22.86			22.86
V12	1241.83	537.83	474.08	751.25
V14	992.04	502.17	414.79	636.33
V2	4247.71	2668.13	2214.08	3043.31
V4	3364.38	2112.17	1766.21	2414.25
V7	1222.50			1222.50
V8	1606.67	1128.04	915.54	1216.75
W1	1149.67			1149.67
W14	429.00			429.00
W2	1739.08	1077.92	1499.88	1438.96
W3	913.00	730.79		821.90
W4	7596.17	5418.67	4587.50	5867.45
W45	57.35			57.35
W47	36.44			36.44
W5	91.33			91.33
W6	1198.13	658.67	590.75	815.85
W8	1110.54	631.54	579.38	773.82
X2	8970.21	7563.58	5994.92	7509.57
X3	13.47			13.47
X8	699.67	312.13	264.88	425.56
X9	2592.21			2592.21
Y2	1680.54	2541.17	2090.00	2103.90
Y7	2421.21			2421.21
Y8	1864.25	1850.42	1534.42	1749.70
Z2	267.38			267.38
Z6	2031.71	1263.96	959.54	1418.40
Z7	251.08			251.08
Z8	2267.29	1373.38	1088.25	1576.31